name,tenured_total,ind_tenured,ind_men_tenured,ind_women_tenured,asian_tenured,asian_men_tenured,asian_women_tenured,black_tenured,black_men_tenured,black_women_tenured,his_tenured,his_men_tenured,his_women_tenured,pi_tenured,pi_men_tenured,pi_women_tenured,white_tenured,white_men_tenured,white_women_tenured,multi_tenured,multi_men_tenured,multi_women_tenured,unknown_tenured,unknown_men_tenured,unknown_women_tenured,student_total,ind_student,ind_men_student,ind_women_student,asian_student,asian_men_student,asian_women_student,black_student,black_men_student,black_women_student,his_student,his_men_student,his_women_student,pi_student,pi_men_student,pi_women_student,white_student,white_men_student,white_women_student,multi_student,multi_men_student,multi_women_student,unknown_student,unknown_men_student,unknown_women_student
ABC Beauty Academy,,,,,,,,,,,,,,,,,,,,,,,,,,34,0,0,0,30,1,29,2,0,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
Abilene Christian University,131,0,0,0,1,0,1,3,3,0,4,2,2,0,0,0,120,91,29,3,2,1,0,0,0,3771,12,6,6,38,15,23,261,159,102,352,160,192,3,2,1,2818,1237,1581,94,41,53,4,2,2
Academy of Hair Design-Beaumont,,,,,,,,,,,,,,,,,,,,,,,,,,83,0,0,0,5,0,5,28,1,27,8,0,8,0,0,0,42,3,39,0,0,0,0,0,0
Academy of Hair Design-Jasper,,,,,,,,,,,,,,,,,,,,,,,,,,56,0,0,0,0,0,0,15,1,14,0,0,0,0,0,0,41,1,40,0,0,0,0,0,0
Academy of Hair Design-Lufkin,,,,,,,,,,,,,,,,,,,,,,,,,,101,1,1,0,4,1,3,22,5,17,28,11,17,0,0,0,46,12,34,0,0,0,0,0,0
Advanced Barber College and Hair Design,,,,,,,,,,,,,,,,,,,,,,,,,,144,0,0,0,0,0,0,0,0,0,144,78,66,0,0,0,0,0,0,0,0,0,0,0,0
Advanced Beauty College,,,,,,,,,,,,,,,,,,,,,,,,,,61,0,0,0,24,0,24,0,0,0,17,0,17,0,0,0,3,1,2,0,0,0,0,0,0
Alamo City Barber College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamo Community College District Central Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allgood Beauty Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altierus Career College-Bissonnet,,,,,,,,,,,,,,,,,,,,,,,,,,924,6,3,3,21,15,6,532,334,198,271,149,122,0,0,0,51,36,15,8,4,4,35,19,16
Alvin Community College,62,0,0,0,0,0,0,1,1,0,2,1,1,0,0,0,59,31,28,0,0,0,0,0,0,5129,31,19,12,218,90,128,461,208,253,1367,584,783,10,4,6,2950,1253,1697,1,0,1,91,35,56
Amarillo College,69,0,0,0,3,2,1,0,0,0,2,2,0,0,0,0,64,31,33,0,0,0,0,0,0,11616,145,45,100,304,118,186,567,239,328,3708,1400,2308,0,0,0,6699,2648,4051,0,0,0,193,76,117
Amberton University,,,,,,,,,,,,,,,,,,,,,,,,,,313,5,3,2,23,7,16,102,38,64,25,10,15,0,0,0,150,53,97,0,0,0,8,3,5
American College of Acupuncture and Oriental Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American InterContinental University-Houston,,,,,,,,,,,,,,,,,,,,,,,,,,461,3,0,3,16,10,6,182,77,105,80,33,47,1,1,0,22,10,12,7,2,5,149,55,94
Angelina College,,,,,,,,,,,,,,,,,,,,,,,,,,5848,31,13,18,40,18,22,903,279,624,623,232,391,6,2,4,3693,1403,2290,412,115,297,134,50,84
Angelo State University,122,4,3,1,6,5,1,1,1,0,6,3,3,0,0,0,105,73,32,0,0,0,0,0,0,6267,44,21,23,87,38,49,589,319,270,1679,738,941,4,2,2,3699,1641,2058,76,31,45,25,14,11
Ann Webb Skin Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOMA Graduate School of Integrative Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona College-Dallas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arlington Baptist University,,,,,,,,,,,,,,,,,,,,,,,,,,220,3,1,2,0,0,0,40,27,13,17,13,4,1,0,1,156,78,78,0,0,0,0,0,0
Arlington Career Institute,,,,,,,,,,,,,,,,,,,,,,,,,,254,1,0,1,4,2,2,73,8,65,75,4,71,0,0,0,101,12,89,0,0,0,0,0,0
Astrodome Career Centers,,,,,,,,,,,,,,,,,,,,,,,,,,50,0,0,0,1,1,0,10,1,9,38,4,34,0,0,0,1,0,1,0,0,0,0,0,0
Auguste Escoffier School of Culinary Arts-Austin,,,,,,,,,,,,,,,,,,,,,,,,,,167,2,1,1,4,1,3,16,8,8,45,26,19,0,0,0,71,27,44,3,0,3,26,13,13
Austin College,69,1,1,0,0,0,0,1,0,1,4,1,3,0,0,0,62,45,17,0,0,0,0,0,0,1326,7,3,4,183,82,101,54,28,26,187,74,113,0,0,0,821,398,423,52,25,27,15,8,7
Austin Community College District,,,,,,,,,,,,,,,,,,,,,,,,,,45100,403,212,191,2118,937,1181,3675,1465,2210,12327,5297,7030,60,29,31,22552,10215,12337,475,229,246,2557,1224,1333
Austin Graduate School of Theology,,,,,,,,,,,,,,,,,,,,,,,,,,31,0,0,0,0,0,0,12,8,4,3,2,1,0,0,0,15,10,5,0,0,0,1,1,0
Austin Presbyterian Theological Seminary,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Aveda Arts & Sciences Institute-San Antonio,,,,,,,,,,,,,,,,,,,,,,,,,,147,0,0,0,1,0,1,8,0,8,75,12,63,1,0,1,34,0,34,0,0,0,26,2,24
Avenue Five Institute,,,,,,,,,,,,,,,,,,,,,,,,,,232,0,0,0,3,1,2,6,0,6,22,1,21,0,0,0,149,8,141,8,0,8,44,2,42
Avenue Five Institute-South Austin Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
