name,tenured_total,ind_tenured,ind_men_tenured,ind_women_tenured,asian_tenured,asian_men_tenured,asian_women_tenured,black_tenured,black_men_tenured,black_women_tenured,his_tenured,his_men_tenured,his_women_tenured,pi_tenured,pi_men_tenured,pi_women_tenured,white_tenured,white_men_tenured,white_women_tenured,multi_tenured,multi_men_tenured,multi_women_tenured,unknown_tenured,unknown_men_tenured,unknown_women_tenured,student_total,ind_student,ind_men_student,ind_women_student,asian_student,asian_men_student,asian_women_student,black_student,black_men_student,black_women_student,his_student,his_men_student,his_women_student,pi_student,pi_men_student,pi_women_student,white_student,white_men_student,white_women_student,multi_student,multi_men_student,multi_women_student,unknown_student,unknown_men_student,unknown_women_student
Bakke Graduate University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baldwin Beauty School-North Austin,,,,,,,,,,,,,,,,,,,,,,,,,,144,0,0,0,9,4,5,15,3,12,26,5,21,0,0,0,91,1,90,0,0,0,3,1,2
Baldwin Beauty School-South Austin,,,,,,,,,,,,,,,,,,,,,,,,,,92,0,0,0,1,0,1,1,0,1,31,2,29,0,0,0,57,4,53,0,0,0,2,0,2
Baptist Health System School of Health Professions,,,,,,,,,,,,,,,,,,,,,,,,,,532,1,0,1,14,4,10,26,7,19,225,51,174,11,2,9,244,60,184,4,1,3,7,2,5
Baptist Missionary Association Theological Seminary,,,,,,,,,,,,,,,,,,,,,,,,,,54,0,0,0,0,0,0,16,12,4,1,1,0,0,0,0,31,25,6,1,1,0,0,0,0
Baptist University of the Americas,,,,,,,,,,,,,,,,,,,,,,,,,,205,0,0,0,0,0,0,13,9,4,143,82,61,0,0,0,16,9,7,0,0,0,0,0,0
Barber Institute of Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baylor College of Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baylor University,418,2,2,0,15,12,3,7,4,3,12,10,2,1,1,0,364,281,83,10,8,2,2,2,0,12438,45,21,24,807,355,452,926,320,606,1637,652,985,8,4,4,8204,3542,4662,496,192,304,23,13,10
Bella Cosmetology College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BK Cosmo College of Cosmetology,,,,,,,,,,,,,,,,,,,,,,,,,,66,0,0,0,0,0,0,0,0,0,34,1,33,1,0,1,31,0,31,0,0,0,0,0,0
Blinn College,,,,,,,,,,,,,,,,,,,,,,,,,,17755,76,35,41,302,145,157,1645,771,874,2785,1310,1475,16,9,7,12478,6225,6253,81,33,48,254,136,118
Brazosport College,,,,,,,,,,,,,,,,,,,,,,,,,,4196,17,6,11,53,26,27,385,173,212,1200,576,624,0,0,0,2541,1211,1330,0,0,0,0,0,0
Brite Divinity School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookhaven College,,,,,,,,,,,,,,,,,,,,,,,,,,12784,66,29,37,1655,774,881,2118,707,1411,3669,1533,2136,9,2,7,4714,2067,2647,60,25,35,411,182,229
Buckner Barber School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Careers Institute of America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrington College-Mesquite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCI Training Center-Arlington,,,,,,,,,,,,,,,,,,,,,,,,,,216,0,0,0,9,2,7,116,33,83,36,18,18,0,0,0,48,16,32,3,0,3,4,3,1
Cedar Valley College,,,,,,,,,,,,,,,,,,,,,,,,,,6222,21,7,14,132,67,65,3436,1209,2227,1080,489,591,0,0,0,1370,553,817,28,11,17,144,63,81
Center for Advanced Legal Studies,,,,,,,,,,,,,,,,,,,,,,,,,,166,0,0,0,3,0,3,45,9,36,32,7,25,0,0,0,84,10,74,0,0,0,2,0,2
Central Texas Beauty College-Round Rock,,,,,,,,,,,,,,,,,,,,,,,,,,91,0,0,0,25,9,16,17,0,17,23,0,23,0,0,0,23,0,23,0,0,0,3,0,3
Central Texas Beauty College-Temple,,,,,,,,,,,,,,,,,,,,,,,,,,69,0,0,0,10,8,2,20,0,20,14,2,12,0,0,0,21,0,21,0,0,0,3,0,3
Central Texas College,,,,,,,,,,,,,,,,,,,,,,,,,,26055,284,143,141,622,293,329,7124,3389,3735,4637,2409,2228,511,248,263,11203,6049,5154,93,39,54,1482,722,760
CET-El Paso,,,,,,,,,,,,,,,,,,,,,,,,,,144,0,0,0,0,0,0,3,3,0,137,104,33,0,0,0,4,4,0,0,0,0,0,0,0
Chamberlain University-Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Champion Beauty College,,,,,,,,,,,,,,,,,,,,,,,,,,34,0,0,0,1,0,1,16,1,15,4,0,4,0,0,0,13,1,12,0,0,0,0,0,0
Charles and Sues School of Hair Design,,,,,,,,,,,,,,,,,,,,,,,,,,24,0,0,0,0,0,0,1,1,0,3,0,3,0,0,0,19,0,19,0,0,0,1,0,1
Chicago School of Professional Psychology at Dallas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christ Mission College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cisco College,40,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,33,18,15,0,0,0,4,1,3,4814,25,11,14,51,20,31,316,168,148,1124,431,693,8,6,2,3006,1265,1741,129,64,65,22,12,10
Clarendon College,,,,,,,,,,,,,,,,,,,,,,,,,,1622,13,6,7,18,14,4,101,69,32,448,259,189,0,0,0,1013,536,477,0,0,0,23,17,6
Coastal Bend College,,,,,,,,,,,,,,,,,,,,,,,,,,4348,26,12,14,22,10,12,116,69,47,2824,1044,1780,0,0,0,1263,520,743,3,1,2,88,52,36
College of Biblical Studies,,,,,,,,,,,,,,,,,,,,,,,,,,232,1,1,0,3,2,1,103,51,52,3,2,1,2,0,2,117,64,53,0,0,0,3,0,3
College of Biblical Studies-Houston,,,,,,,,,,,,,,,,,,,,,,,,,,432,0,0,0,8,5,3,174,92,82,129,67,62,0,0,0,113,67,46,5,2,3,3,0,3
College of the Mainland,56,1,0,1,3,1,2,3,1,2,3,2,1,0,0,0,45,25,20,1,0,1,0,0,0,4352,28,14,14,130,61,69,726,248,478,955,400,555,6,4,2,2318,948,1370,28,14,14,158,70,88
Collin County Community College District,,,,,,,,,,,,,,,,,,,,,,,,,,27069,172,69,103,2150,969,1181,2939,1127,1812,3700,1591,2109,24,10,14,15882,6999,8883,323,141,182,834,370,464
Commonwealth Institute of Funeral Service,,,,,,,,,,,,,,,,,,,,,,,,,,153,0,0,0,0,0,0,51,23,28,26,8,18,0,0,0,76,32,44,0,0,0,0,0,0
Concorde Career College-Dallas,,,,,,,,,,,,,,,,,,,,,,,,,,106,0,0,0,2,0,2,58,5,53,23,3,20,1,1,0,19,1,18,2,0,2,1,0,1
Concorde Career College-Grand Prairie,,,,,,,,,,,,,,,,,,,,,,,,,,638,6,0,6,17,6,11,276,46,230,104,6,98,2,1,1,217,26,191,10,1,9,6,1,5
Concorde Career College-San Antonio,,,,,,,,,,,,,,,,,,,,,,,,,,185,0,0,0,1,0,1,19,3,16,128,14,114,0,0,0,31,4,27,2,1,1,4,1,3
Concordia University Texas,,,,,,,,,,,,,,,,,,,,,,,,,,1325,10,4,6,32,6,26,174,64,110,263,92,171,0,0,0,778,314,464,0,0,0,67,24,43
Cortiva Institute-Arlington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cortiva Institute-Dallas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cortiva Institute-Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmetology Academy of Texarkana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmetology Career Center LLC,,,,,,,,,,,,,,,,,,,,,,,,,,312,6,0,6,17,2,15,48,3,45,49,7,42,1,0,1,190,14,176,0,0,0,1,0,1
Covenant School of Nursing and Allied Health,,,,,,,,,,,,,,,,,,,,,,,,,,304,2,0,2,18,9,9,5,0,5,52,16,36,0,0,0,221,34,187,1,0,1,5,2,3
Criswell College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Culinary Institute Inc,,,,,,,,,,,,,,,,,,,,,,,,,,370,1,0,1,16,7,9,78,33,45,125,65,60,0,0,0,147,68,79,3,2,1,0,0,0
CyberTex Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas Baptist University,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3523,27,7,20,57,20,37,652,205,447,334,132,202,10,2,8,2178,959,1219,0,0,0,0,0,0
Dallas Barber & Stylist College,,,,,,,,,,,,,,,,,,,,,,,,,,169,0,0,0,0,0,0,158,119,39,10,9,1,0,0,0,1,1,0,0,0,0,0,0,0
Dallas Christian College,,,,,,,,,,,,,,,,,,,,,,,,,,343,6,3,3,10,2,8,75,43,32,48,33,15,0,0,0,187,92,95,10,5,5,4,2,2
Dallas County Community College District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas Institute of Funeral Service,,,,,,,,,,,,,,,,,,,,,,,,,,141,0,0,0,0,0,0,42,24,18,21,11,10,0,0,0,78,40,38,0,0,0,0,0,0
Dallas Nursing Institute,,,,,,,,,,,,,,,,,,,,,,,,,,1244,1,0,1,5,1,4,932,170,762,83,17,66,0,0,0,54,5,49,6,1,5,163,35,128
Dallas Theological Seminary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Del Mar College,,,,,,,,,,,,,,,,,,,,,,,,,,12236,189,89,100,124,56,68,328,140,188,6136,2548,3588,0,0,0,2367,1040,1327,0,0,0,2513,1069,1444
Deluxe Barber College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeVry University-Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diamonds Cosmetology College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DuVall's School of Cosmetology,,,,,,,,,,,,,,,,,,,,,,,,,,110,0,0,0,0,0,0,8,1,7,7,0,7,0,0,0,95,4,91,0,0,0,0,0,0
East Texas Baptist University,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1197,15,6,9,14,6,8,200,121,79,107,47,60,1,1,0,828,400,428,10,5,5,7,2,5
Eastfield College,,,,,,,,,,,,,,,,,,,,,,,,,,12919,67,30,37,521,260,261,3160,971,2189,4397,1881,2516,7,1,6,4434,2017,2417,30,14,16,279,130,149
El Centro College,,,,,,,,,,,,,,,,,,,,,,,,,,9761,49,13,36,456,178,278,3127,828,2299,3286,1115,2171,10,7,3,2482,842,1640,25,6,19,284,106,178
El Paso Community College,281,0,0,0,5,1,4,8,2,6,133,67,66,0,0,0,135,63,72,0,0,0,0,0,0,29909,102,50,52,271,118,153,702,319,383,25409,10676,14733,12,6,6,2646,1191,1455,2,1,1,91,39,52
Episcopal Theological Seminary of the Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exposito School of Hair Design,,,,,,,,,,,,,,,,,,,,,,,,,,81,0,0,0,0,0,0,5,1,4,21,1,20,0,0,0,52,6,46,1,0,1,1,0,1
Florida Career College-Houston Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort Worth Beauty School,,,,,,,,,,,,,,,,,,,,,,,,,,168,1,0,1,0,0,0,59,8,51,36,6,30,0,0,0,70,11,59,0,0,0,2,0,2
Fortis College,,,,,,,,,,,,,,,,,,,,,,,,,,642,3,0,3,14,0,14,275,42,233,211,31,180,0,0,0,62,5,57,7,1,6,70,15,55
Fortis College-Grand Prairie,,,,,,,,,,,,,,,,,,,,,,,,,,298,1,0,1,10,6,4,85,22,63,95,16,79,0,0,0,83,12,71,7,2,5,15,6,9
Fortis Institute,,,,,,,,,,,,,,,,,,,,,,,,,,217,0,0,0,1,0,1,74,11,63,73,10,63,0,0,0,26,2,24,0,0,0,42,6,36
Frank Phillips College,,,,,,,,,,,,,,,,,,,,,,,,,,1247,16,7,9,8,2,6,81,55,26,277,104,173,0,0,0,849,395,454,0,0,0,13,3,10
GA Beauty & Barber School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galen College of Nursing-San Antonio,,,,,,,,,,,,,,,,,,,,,,,,,,763,2,0,2,35,11,24,82,11,71,344,44,300,0,0,0,260,27,233,0,0,0,40,21,19
Galveston College,29,0,0,0,1,1,0,4,1,3,4,2,2,0,0,0,20,12,8,0,0,0,0,0,0,2319,17,6,11,65,34,31,433,131,302,653,249,404,2,1,1,1050,458,592,1,0,1,98,49,49
Gemini School of Visual Arts & Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grace School of Theology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grayson College,,,,,,,,,,,,,,,,,,,,,,,,,,5284,375,151,224,69,28,41,388,128,260,385,156,229,0,0,0,3968,1530,2438,0,0,0,99,70,29
Guidance College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hallmark University,,,,,,,,,,,,,,,,,,,,,,,,,,857,1,1,0,6,6,0,117,72,45,462,292,170,2,2,0,238,154,84,27,17,10,4,2,2
Hands on Therapy,,,,,,,,,,,,,,,,,,,,,,,,,,66,0,0,0,0,0,0,20,6,14,5,0,5,0,0,0,41,10,31,0,0,0,0,0,0
Hardin-Simmons University,94,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,93,63,30,0,0,0,0,0,0,1878,15,8,7,17,12,5,96,57,39,195,94,101,3,2,1,1317,561,756,32,13,19,178,93,85
Hill College,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4439,8,3,5,0,0,0,128,54,74,216,81,135,6,2,4,1951,677,1274,380,137,243,1749,749,1000
Houston Baptist University,,,,,,,,,,,,,,,,,,,,,,,,,,2198,4,2,2,269,88,181,402,113,289,577,182,395,12,5,7,697,275,422,87,35,52,58,17,41
Houston Barber School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houston Community College,,,,,,,,,,,,,,,,,,,,,,,,,,60303,134,65,69,5788,2721,3067,17525,5851,11674,18562,7756,10806,171,87,84,10645,4933,5712,577,229,348,864,376,488
Houston Graduate School of Theology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houston International College Cardiotech Ultrasound School,,,,,,,,,,,,,,,,,,,,,,,,,,56,0,0,0,18,7,11,12,4,8,6,1,5,2,1,1,12,5,7,0,0,0,5,1,4
Houston School of Carpentry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houston Training School-Gulfgate,,,,,,,,,,,,,,,,,,,,,,,,,,267,0,0,0,3,1,2,47,2,45,215,4,211,0,0,0,2,0,2,0,0,0,0,0,0
Houston Training School-Main Campus,,,,,,,,,,,,,,,,,,,,,,,,,,196,0,0,0,0,0,0,94,3,91,100,4,96,0,0,0,2,0,2,0,0,0,0,0,0
Houston Training Schools-Gessner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Howard College,,,,,,,,,,,,,,,,,,,,,,,,,,4623,14,6,8,33,8,25,165,73,92,1307,487,820,4,1,3,2363,916,1447,726,204,522,7,4,3
Howard Payne University,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,0,0,0,0,0,0,1271,6,4,2,6,4,2,122,90,32,215,103,112,0,0,0,834,413,421,0,0,0,79,42,37
Huston-Tillotson University,6,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,895,0,0,0,0,0,0,643,300,343,172,88,84,0,0,0,48,31,17,3,2,1,0,0,0
Interactive College of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,17,0,0,0,5,2,3,0,0,0,10,6,4,0,0,0,0,0,0,0,0,0,2,0,2
Interactive College of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,20,0,0,0,0,0,0,0,0,0,15,6,9,0,0,0,5,2,3,0,0,0,0,0,0
Interactive College of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,28,0,0,0,1,0,1,6,2,4,18,6,12,0,0,0,2,1,1,0,0,0,1,0,1
International Beauty College,,,,,,,,,,,,,,,,,,,,,,,,,,55,1,0,1,34,4,30,4,0,4,9,0,9,0,0,0,6,0,6,0,0,0,0,0,0
International Business College-El Paso,,,,,,,,,,,,,,,,,,,,,,,,,,251,0,0,0,1,0,1,5,2,3,223,79,144,0,0,0,22,6,16,0,0,0,0,0,0
International Business College-El Paso,,,,,,,,,,,,,,,,,,,,,,,,,,268,0,0,0,0,0,0,4,1,3,254,74,180,1,0,1,9,2,7,0,0,0,0,0,0
Jacksonville College-Main Campus,,,,,,,,,,,,,,,,,,,,,,,,,,402,1,1,0,1,1,0,76,32,44,80,30,50,0,0,0,226,78,148,5,1,4,0,0,0
Jarvis Christian College,4,0,0,0,1,1,0,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,522,0,0,0,0,0,0,506,261,245,7,5,2,0,0,0,5,4,1,0,0,0,0,0,0
Jay's Technical Institute,,,,,,,,,,,,,,,,,,,,,,,,,,211,0,0,0,0,0,0,205,113,92,2,2,0,0,0,0,2,1,1,0,0,0,2,0,2
K & G 5 Star Barber College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KD Conservatory College of Film and Dramatic Arts,,,,,,,,,,,,,,,,,,,,,,,,,,183,0,0,0,0,0,0,83,51,32,30,14,16,0,0,0,65,31,34,0,0,0,5,2,3
Kilgore College,,,,,,,,,,,,,,,,,,,,,,,,,,6691,24,11,13,60,26,34,1295,477,818,718,281,437,8,4,4,4160,1563,2597,241,97,144,95,40,55
Lamar Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,3256,17,10,7,73,45,28,1172,564,608,283,157,126,1,0,1,1501,856,645,2,0,2,207,121,86
Lamar State College-Orange,18,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,17,7,10,0,0,0,0,0,0,2649,13,3,10,32,14,18,606,98,508,96,30,66,0,0,0,1884,538,1346,0,0,0,18,5,13
Lamar State College-Port Arthur,32,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,30,11,19,0,0,0,0,0,0,2473,28,12,16,209,82,127,751,201,550,353,142,211,4,3,1,1118,408,710,0,0,0,10,7,3
Lamar University,,,,,,,,,,,,,,,,,,,,,,,,,,9577,47,19,28,354,177,177,2882,951,1931,767,337,430,0,0,0,5043,2167,2876,0,0,0,414,174,240
Lamson Institute,,,,,,,,,,,,,,,,,,,,,,,,,,310,2,0,2,0,0,0,26,11,15,237,103,134,0,0,0,36,12,24,0,0,0,9,3,6
Laredo Beauty College Inc,,,,,,,,,,,,,,,,,,,,,,,,,,147,0,0,0,0,0,0,0,0,0,147,2,145,0,0,0,0,0,0,0,0,0,0,0,0
Laredo CHI Academy Beauty School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laredo College,135,1,0,1,5,2,3,1,1,0,99,60,39,0,0,0,27,17,10,0,0,0,2,2,0,10029,6,4,2,32,12,20,28,15,13,9599,4098,5501,2,0,2,167,93,74,5,0,5,120,58,62
Lee College,,,,,,,,,,,,,,,,,,,,,,,,,,6719,21,14,7,98,49,49,1223,552,671,1875,978,897,0,0,0,3104,1587,1517,215,81,134,124,50,74
LeTourneau University,,,,,,,,,,,,,,,,,,,,,,,,,,2844,8,2,6,28,16,12,522,97,425,212,84,128,1,1,0,1827,989,838,19,10,9,165,88,77
Lincoln College of Technology-Grand Prairie,,,,,,,,,,,,,,,,,,,,,,,,,,1839,4,4,0,28,28,0,387,372,15,516,501,15,1,1,0,604,576,28,5,5,0,294,287,7
Lone Star College System,,,,,,,,,,,,,,,,,,,,,,,,,,54412,249,109,140,3606,1681,1925,7779,2516,5263,14395,5807,8588,0,0,0,24120,10019,14101,0,0,0,3840,1650,2190
Lubbock Christian University,47,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,46,24,22,0,0,0,0,0,0,1629,10,3,7,7,4,3,112,50,62,294,112,182,3,0,3,1177,516,661,0,0,0,0,0,0
M T Training Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
