name,tenured_total,ind_tenured,ind_men_tenured,ind_women_tenured,asian_tenured,asian_men_tenured,asian_women_tenured,black_tenured,black_men_tenured,black_women_tenured,his_tenured,his_men_tenured,his_women_tenured,pi_tenured,pi_men_tenured,pi_women_tenured,white_tenured,white_men_tenured,white_women_tenured,multi_tenured,multi_men_tenured,multi_women_tenured,unknown_tenured,unknown_men_tenured,unknown_women_tenured,student_total,ind_student,ind_men_student,ind_women_student,asian_student,asian_men_student,asian_women_student,black_student,black_men_student,black_women_student,his_student,his_men_student,his_women_student,pi_student,pi_men_student,pi_women_student,white_student,white_men_student,white_women_student,multi_student,multi_men_student,multi_women_student,unknown_student,unknown_men_student,unknown_women_student
ABC Beauty Academy,,,,,,,,,,,,,,,,,,,,,,,,,,23,0,0,0,18,4,14,3,0,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
Abilene Christian University,,,,,,,,,,,,,,,,,,,,,,,,,,3806,14,6,8,41,26,15,271,167,104,323,142,181,3,1,2,2891,1284,1607,95,47,48,3,2,1
Academy of Hair Design-Beaumont,,,,,,,,,,,,,,,,,,,,,,,,,,73,0,0,0,2,0,2,9,0,9,3,0,3,0,0,0,55,4,51,0,0,0,4,0,4
Academy of Hair Design-Jasper,,,,,,,,,,,,,,,,,,,,,,,,,,57,0,0,0,0,0,0,13,1,12,0,0,0,0,0,0,44,1,43,0,0,0,0,0,0
Academy of Hair Design-Lufkin,,,,,,,,,,,,,,,,,,,,,,,,,,99,2,2,0,7,2,5,25,7,18,25,11,14,0,0,0,37,5,32,0,0,0,3,0,3
Advanced Barber College and Hair Design,,,,,,,,,,,,,,,,,,,,,,,,,,138,0,0,0,0,0,0,0,0,0,138,56,82,0,0,0,0,0,0,0,0,0,0,0,0
Advanced Beauty College,,,,,,,,,,,,,,,,,,,,,,,,,,83,0,0,0,17,1,16,1,0,1,26,3,23,0,0,0,3,1,2,0,0,0,0,0,0
Alamo City Barber College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamo Community College District Central Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allgood Beauty Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altierus Career College-Bissonnet,,,,,,,,,,,,,,,,,,,,,,,,,,1293,0,0,0,20,12,8,764,443,321,401,234,167,0,0,0,62,34,28,8,7,1,38,15,23
Alvin Community College,,,,,,,,,,,,,,,,,,,,,,,,,,5794,36,19,17,244,109,135,602,320,282,1471,671,800,10,4,6,3341,1486,1855,1,0,1,81,36,45
Amarillo College,74,0,0,0,3,2,1,0,0,0,2,2,0,0,0,0,69,36,33,0,0,0,0,0,0,11878,127,61,66,295,126,169,531,226,305,3614,1357,2257,0,0,0,7062,2770,4292,0,0,0,249,106,143
Amberton University,,,,,,,,,,,,,,,,,,,,,,,,,,322,1,0,1,18,7,11,107,43,64,28,11,17,0,0,0,166,66,100,0,0,0,2,2,0
American College of Acupuncture and Oriental Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American InterContinental University-Houston,,,,,,,,,,,,,,,,,,,,,,,,,,469,1,0,1,14,7,7,203,73,130,103,43,60,2,1,1,29,15,14,5,2,3,111,56,55
Angelina College,,,,,,,,,,,,,,,,,,,,,,,,,,5927,31,14,17,45,17,28,887,277,610,654,277,377,4,3,1,3758,1497,2261,500,144,356,39,21,18
Angelo State University,117,4,3,1,3,2,1,1,1,0,5,3,2,0,0,0,103,71,32,0,0,0,0,0,0,6034,40,20,20,84,37,47,527,283,244,1586,690,896,3,2,1,3679,1655,2024,38,19,19,27,11,16
Ann Webb Skin Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOMA Graduate School of Integrative Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona College-Dallas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arlington Baptist University,,,,,,,,,,,,,,,,,,,,,,,,,,211,1,0,1,2,1,1,34,29,5,20,13,7,0,0,0,148,76,72,0,0,0,0,0,0
Arlington Career Institute,,,,,,,,,,,,,,,,,,,,,,,,,,315,0,0,0,5,1,4,108,3,105,80,6,74,1,0,1,120,16,104,0,0,0,0,0,0
Astrodome Career Centers,,,,,,,,,,,,,,,,,,,,,,,,,,36,0,0,0,0,0,0,10,0,10,24,2,22,0,0,0,1,0,1,0,0,0,1,0,1
Auguste Escoffier School of Culinary Arts-Austin,,,,,,,,,,,,,,,,,,,,,,,,,,56,0,0,0,1,1,0,7,3,4,17,9,8,0,0,0,31,14,17,0,0,0,0,0,0
Austin College,67,1,1,0,0,0,0,1,0,1,3,1,2,0,0,0,62,49,13,0,0,0,0,0,0,1293,4,2,2,179,75,104,49,27,22,154,56,98,0,0,0,815,378,437,53,21,32,14,6,8
Austin Community College District,,,,,,,,,,,,,,,,,,,,,,,,,,44100,429,242,187,2159,982,1177,3739,1441,2298,11090,4801,6289,36,20,16,23231,10486,12745,275,144,131,2475,1185,1290
Austin Graduate School of Theology,,,,,,,,,,,,,,,,,,,,,,,,,,26,0,0,0,0,0,0,12,11,1,5,5,0,0,0,0,9,6,3,0,0,0,0,0,0
Austin Presbyterian Theological Seminary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aveda Arts & Sciences Institute-San Antonio,,,,,,,,,,,,,,,,,,,,,,,,,,198,3,0,3,4,0,4,8,0,8,93,10,83,0,0,0,78,2,76,7,0,7,5,0,5
Avenue Five Institute,,,,,,,,,,,,,,,,,,,,,,,,,,209,0,0,0,1,0,1,10,3,7,21,3,18,0,0,0,131,10,121,0,0,0,46,1,45
Avenue Five Institute-South Austin Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aviation Institute of Maintenance-Dallas,,,,,,,,,,,,,,,,,,,,,,,,,,382,0,0,0,13,13,0,144,136,8,86,84,2,0,0,0,105,97,8,8,8,0,26,24,2
Aviation Institute of Maintenance-Houston,,,,,,,,,,,,,,,,,,,,,,,,,,104,0,0,0,5,5,0,11,11,0,58,58,0,0,0,0,29,28,1,0,0,0,1,1,0
