name,tenured_total,ind_tenured,ind_men_tenured,ind_women_tenured,asian_tenured,asian_men_tenured,asian_women_tenured,black_tenured,black_men_tenured,black_women_tenured,his_tenured,his_men_tenured,his_women_tenured,pi_tenured,pi_men_tenured,pi_women_tenured,white_tenured,white_men_tenured,white_women_tenured,multi_tenured,multi_men_tenured,multi_women_tenured,unknown_tenured,unknown_men_tenured,unknown_women_tenured,student_total,ind_student,ind_men_student,ind_women_student,asian_student,asian_men_student,asian_women_student,black_student,black_men_student,black_women_student,his_student,his_men_student,his_women_student,pi_student,pi_men_student,pi_women_student,white_student,white_men_student,white_women_student,multi_student,multi_men_student,multi_women_student,unknown_student,unknown_men_student,unknown_women_student
ABC Beauty Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abilene Christian University,140,1,1,0,2,2,0,5,3,2,4,2,2,0,0,0,125,89,36,3,2,1,0,0,0,3666,10,1,9,43,20,23,321,157,164,627,237,390,4,3,1,2336,951,1385,174,78,96,8,3,5
Academy of Hair Design-Beaumont,,,,,,,,,,,,,,,,,,,,,,,,,,60,0,0,0,0,0,0,36,1,35,0,0,0,0,0,0,19,0,19,5,0,5,0,0,0
Academy of Hair Design-Jasper,,,,,,,,,,,,,,,,,,,,,,,,,,42,0,0,0,0,0,0,18,4,14,2,0,2,0,0,0,22,4,18,0,0,0,0,0,0
Academy of Hair Design-Lufkin,,,,,,,,,,,,,,,,,,,,,,,,,,80,0,0,0,7,2,5,22,7,15,8,0,8,0,0,0,43,5,38,0,0,0,0,0,0
Advanced Barber College and Hair Design,,,,,,,,,,,,,,,,,,,,,,,,,,232,0,0,0,0,0,0,1,1,0,230,142,88,0,0,0,0,0,0,0,0,0,1,1,0
Advanced Beauty College,,,,,,,,,,,,,,,,,,,,,,,,,,48,0,0,0,40,0,40,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,1,0,1
Alamo City Barber College,,,,,,,,,,,,,,,,,,,,,,,,,,175,0,0,0,0,0,0,29,26,3,137,112,25,0,0,0,7,5,2,0,0,0,2,2,0
Alamo Community College District Central Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allgood Beauty Institute,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,3,0,3,0,0,0,0,0,0
Altierus Career College-Bissonnet,,,,,,,,,,,,,,,,,,,,,,,,,,310,0,0,0,13,7,6,136,49,87,136,39,97,0,0,0,10,2,8,9,4,5,6,3,3
Alvin Community College,66,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,63,27,36,0,0,0,0,0,0,5785,43,24,19,398,164,234,742,326,416,1962,865,1097,20,12,8,2465,1063,1402,0,0,0,84,40,44
