name,tenured_total,ind_tenured,ind_men_tenured,ind_women_tenured,asian_tenured,asian_men_tenured,asian_women_tenured,black_tenured,black_men_tenured,black_women_tenured,his_tenured,his_men_tenured,his_women_tenured,pi_tenured,pi_men_tenured,pi_women_tenured,white_tenured,white_men_tenured,white_women_tenured,multi_tenured,multi_men_tenured,multi_women_tenured,unknown_tenured,unknown_men_tenured,unknown_women_tenured,student_total,ind_student,ind_men_student,ind_women_student,asian_student,asian_men_student,asian_women_student,black_student,black_men_student,black_women_student,his_student,his_men_student,his_women_student,pi_student,pi_men_student,pi_women_student,white_student,white_men_student,white_women_student,multi_student,multi_men_student,multi_women_student,unknown_student,unknown_men_student,unknown_women_student
ABC Beauty Academy,,,,,,,,,,,,,,,,,,,,,,,,,,72,0,0,0,64,15,49,1,0,1,6,0,6,0,0,0,1,0,1,0,0,0,0,0,0
Abilene Christian University,142,1,1,0,2,1,1,5,4,1,4,2,2,0,0,0,126,100,26,3,2,1,0,0,0,3760,13,5,8,37,13,24,328,153,175,601,219,382,2,1,1,2418,978,1440,192,84,108,17,8,9
Academy of Hair Design-Beaumont,,,,,,,,,,,,,,,,,,,,,,,,,,65,0,0,0,5,1,4,20,0,20,11,0,11,0,0,0,29,2,27,0,0,0,0,0,0
Academy of Hair Design-Jasper,,,,,,,,,,,,,,,,,,,,,,,,,,44,0,0,0,0,0,0,16,4,12,2,0,2,0,0,0,26,5,21,0,0,0,0,0,0
Academy of Hair Design-Lufkin,,,,,,,,,,,,,,,,,,,,,,,,,,106,0,0,0,7,1,6,24,7,17,29,7,22,0,0,0,46,5,41,0,0,0,0,0,0
Advanced Barber College and Hair Design,,,,,,,,,,,,,,,,,,,,,,,,,,206,0,0,0,0,0,0,2,2,0,199,110,89,0,0,0,0,0,0,0,0,0,5,3,2
Advanced Beauty College,,,,,,,,,,,,,,,,,,,,,,,,,,54,0,0,0,34,0,34,2,0,2,17,0,17,0,0,0,1,0,1,0,0,0,0,0,0
Alamo City Barber College,,,,,,,,,,,,,,,,,,,,,,,,,,452,0,0,0,0,0,0,138,117,21,274,219,55,0,0,0,38,32,6,0,0,0,0,0,0
Alamo Community College District Central Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allgood Beauty Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altierus Career College-Bissonnet,,,,,,,,,,,,,,,,,,,,,,,,,,590,1,0,1,24,12,12,263,103,160,240,92,148,0,0,0,37,19,18,13,3,10,12,6,6
Alvin Community College,62,0,0,0,1,0,1,1,1,0,3,3,0,0,0,0,57,28,29,0,0,0,0,0,0,5114,35,17,18,267,113,154,616,287,329,1628,708,920,16,11,5,2469,1088,1381,0,0,0,43,25,18
Amarillo College,60,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,59,25,34,0,0,0,0,0,0,9936,55,20,35,288,124,164,477,168,309,3824,1452,2372,10,7,3,4993,1901,3092,168,66,102,121,45,76
Amberton University,,,,,,,,,,,,,,,,,,,,,,,,,,231,3,0,3,21,9,12,63,28,35,25,9,16,0,0,0,114,48,66,0,0,0,5,0,5
American College of Acupuncture and Oriental Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American InterContinental University-Houston,,,,,,,,,,,,,,,,,,,,,,,,,,379,2,1,1,5,2,3,146,56,90,44,12,32,2,2,0,11,5,6,2,0,2,167,59,108
Angelina College,,,,,,,,,,,,,,,,,,,,,,,,,,5141,30,12,18,52,18,34,653,206,447,1110,452,658,3,1,2,3133,1187,1946,155,60,95,0,0,0
Angelo State University,122,3,2,1,6,4,2,3,1,2,8,3,5,0,0,0,102,70,32,0,0,0,0,0,0,7177,25,10,15,79,36,43,457,256,201,2322,955,1367,9,4,5,3837,1716,2121,198,86,112,11,5,6
Ann Webb Skin Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
