name,tenured_total,ind_tenured,ind_men_tenured,ind_women_tenured,asian_tenured,asian_men_tenured,asian_women_tenured,black_tenured,black_men_tenured,black_women_tenured,his_tenured,his_men_tenured,his_women_tenured,pi_tenured,pi_men_tenured,pi_women_tenured,white_tenured,white_men_tenured,white_women_tenured,multi_tenured,multi_men_tenured,multi_women_tenured,unknown_tenured,unknown_men_tenured,unknown_women_tenured,student_total,ind_student,ind_men_student,ind_women_student,asian_student,asian_men_student,asian_women_student,black_student,black_men_student,black_women_student,his_student,his_men_student,his_women_student,pi_student,pi_men_student,pi_women_student,white_student,white_men_student,white_women_student,multi_student,multi_men_student,multi_women_student,unknown_student,unknown_men_student,unknown_women_student
ABC Beauty Academy,,,,,,,,,,,,,,,,,,,,,,,,,,30,0,0,0,28,3,25,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Abilene Christian University,131,0,0,0,2,1,1,5,4,1,4,2,2,0,0,0,116,89,27,4,3,1,0,0,0,3650,14,5,9,35,15,20,294,151,143,513,204,309,0,0,0,2445,1022,1423,165,63,102,20,11,9
Academy of Hair Design-Beaumont,,,,,,,,,,,,,,,,,,,,,,,,,,77,0,0,0,5,0,5,29,2,27,8,0,8,0,0,0,35,2,33,0,0,0,0,0,0
Academy of Hair Design-Jasper,,,,,,,,,,,,,,,,,,,,,,,,,,59,0,0,0,0,0,0,22,4,18,16,0,16,0,0,0,21,5,16,0,0,0,0,0,0
Academy of Hair Design-Lufkin,,,,,,,,,,,,,,,,,,,,,,,,,,96,0,0,0,6,0,6,20,10,10,20,4,16,0,0,0,50,8,42,0,0,0,0,0,0
Advanced Barber College and Hair Design,,,,,,,,,,,,,,,,,,,,,,,,,,242,0,0,0,0,0,0,3,3,0,233,131,102,0,0,0,4,1,3,0,0,0,2,2,0
Advanced Beauty College,,,,,,,,,,,,,,,,,,,,,,,,,,58,0,0,0,33,2,31,0,0,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0
Alamo City Barber College,,,,,,,,,,,,,,,,,,,,,,,,,,113,0,0,0,0,0,0,29,24,5,80,63,17,0,0,0,4,4,0,0,0,0,0,0,0
Alamo Community College District Central Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allgood Beauty Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altierus Career College-Bissonnet,,,,,,,,,,,,,,,,,,,,,,,,,,785,0,0,0,18,9,9,427,195,232,256,109,147,2,1,1,57,29,28,15,4,11,10,5,5
Alvin Community College,,,,,,,,,,,,,,,,,,,,,,,,,,4837,32,17,15,246,118,128,505,238,267,1485,640,845,18,10,8,2477,1060,1417,1,1,0,73,31,42
Amarillo College,60,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,59,26,33,0,0,0,0,0,0,10336,136,61,75,304,139,165,525,210,315,3940,1480,2460,0,0,0,5344,2065,3279,0,0,0,86,29,57
Amberton University,,,,,,,,,,,,,,,,,,,,,,,,,,245,1,0,1,19,7,12,79,31,48,19,8,11,1,0,1,120,46,74,0,0,0,6,2,4
American College of Acupuncture and Oriental Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American InterContinental University-Houston,,,,,,,,,,,,,,,,,,,,,,,,,,430,2,0,2,9,5,4,131,46,85,34,11,23,0,0,0,11,2,9,2,0,2,241,92,149
Angelina College,,,,,,,,,,,,,,,,,,,,,,,,,,5148,33,13,20,44,19,25,662,191,471,1020,395,625,6,3,3,3228,1196,2032,151,69,82,0,0,0
Angelo State University,122,4,2,2,5,4,1,2,2,0,9,4,5,0,0,0,102,66,36,0,0,0,0,0,0,5359,20,7,13,46,22,24,445,241,204,1677,716,961,9,6,3,2779,1288,1491,151,68,83,57,31,26
Ann Webb Skin Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOMA Graduate School of Integrative Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona College-Dallas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arlington Baptist University,,,,,,,,,,,,,,,,,,,,,,,,,,233,5,2,3,1,1,0,39,29,10,20,14,6,0,0,0,167,91,76,0,0,0,0,0,0
Arlington Career Institute,,,,,,,,,,,,,,,,,,,,,,,,,,204,0,0,0,4,1,3,56,6,50,58,5,53,0,0,0,86,1,85,0,0,0,0,0,0
Astrodome Career Centers,,,,,,,,,,,,,,,,,,,,,,,,,,41,1,0,1,0,0,0,4,0,4,35,1,34,0,0,0,1,0,1,0,0,0,0,0,0
Auguste Escoffier School of Culinary Arts-Austin,,,,,,,,,,,,,,,,,,,,,,,,,,294,2,2,0,3,1,2,48,23,25,105,43,62,0,0,0,108,49,59,11,9,2,17,6,11
Austin College,,,,,,,,,,,,,,,,,,,,,,,,,,1278,14,9,5,177,77,100,85,46,39,250,111,139,1,0,1,708,357,351,4,2,2,5,2,3
Austin Community College District,,,,,,,,,,,,,,,,,,,,,,,,,,40949,335,153,182,1955,819,1136,2991,1170,1821,12388,5284,7104,77,36,41,18704,8652,10052,1132,571,561,2064,901,1163
Austin Graduate School of Theology,,,,,,,,,,,,,,,,,,,,,,,,,,17,0,0,0,0,0,0,11,8,3,3,2,1,0,0,0,3,1,2,0,0,0,0,0,0
Austin Presbyterian Theological Seminary,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Aveda Arts & Sciences Institute-San Antonio,,,,,,,,,,,,,,,,,,,,,,,,,,285,0,0,0,3,0,3,12,0,12,151,6,145,0,0,0,119,3,116,0,0,0,0,0,0
Avenue Five Institute,,,,,,,,,,,,,,,,,,,,,,,,,,236,1,0,1,5,1,4,14,2,12,43,3,40,0,0,0,139,6,133,28,0,28,6,0,6
Avenue Five Institute-South Austin Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aviation Institute of Maintenance-Dallas,,,,,,,,,,,,,,,,,,,,,,,,,,359,2,2,0,22,22,0,102,100,2,85,80,5,0,0,0,112,98,14,7,6,1,29,29,0
