name,tenured_total,ind_tenured,ind_men_tenured,ind_women_tenured,asian_tenured,asian_men_tenured,asian_women_tenured,black_tenured,black_men_tenured,black_women_tenured,his_tenured,his_men_tenured,his_women_tenured,pi_tenured,pi_men_tenured,pi_women_tenured,white_tenured,white_men_tenured,white_women_tenured,multi_tenured,multi_men_tenured,multi_women_tenured,unknown_tenured,unknown_men_tenured,unknown_women_tenured,student_total,ind_student,ind_men_student,ind_women_student,asian_student,asian_men_student,asian_women_student,black_student,black_men_student,black_women_student,his_student,his_men_student,his_women_student,pi_student,pi_men_student,pi_women_student,white_student,white_men_student,white_women_student,multi_student,multi_men_student,multi_women_student,unknown_student,unknown_men_student,unknown_women_student
ABC Beauty Academy,,,,,,,,,,,,,,,,,,,,,,,,,,28,0,0,0,18,0,18,7,0,7,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0
Abilene Christian University,131,1,1,0,3,2,1,5,3,2,4,2,2,0,0,0,115,86,29,3,2,1,0,0,0,3525,15,4,11,46,17,29,304,155,149,653,215,438,3,3,0,2206,862,1344,159,67,92,16,8,8
Academy of Hair Design-Beaumont,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0
Academy of Hair Design-Jasper,,,,,,,,,,,,,,,,,,,,,,,,,,41,0,0,0,0,0,0,15,8,7,2,0,2,3,0,3,21,1,20,0,0,0,0,0,0
Academy of Hair Design-Lufkin,,,,,,,,,,,,,,,,,,,,,,,,,,83,0,0,0,4,1,3,29,7,22,6,0,6,0,0,0,44,4,40,0,0,0,0,0,0
Advanced Barber College and Hair Design,,,,,,,,,,,,,,,,,,,,,,,,,,196,0,0,0,0,0,0,0,0,0,196,140,56,0,0,0,0,0,0,0,0,0,0,0,0
Advanced Beauty College,,,,,,,,,,,,,,,,,,,,,,,,,,28,0,0,0,25,0,25,0,0,0,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0
Alamo City Barber College,,,,,,,,,,,,,,,,,,,,,,,,,,144,0,0,0,1,1,0,28,23,5,98,80,18,0,0,0,6,5,1,9,6,3,2,2,0
Alamo Community College District Central Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allgood Beauty Institute,,,,,,,,,,,,,,,,,,,,,,,,,,19,1,0,1,1,0,1,4,0,4,3,0,3,0,0,0,6,0,6,0,0,0,3,0,3
Altierus Career College-Bissonnet,,,,,,,,,,,,,,,,,,,,,,,,,,452,1,1,0,19,10,9,181,59,122,204,76,128,0,0,0,36,17,19,9,5,4,2,0,2
Alvin Community College,61,1,1,0,1,0,1,2,1,1,3,2,1,0,0,0,54,24,30,0,0,0,0,0,0,5797,48,19,29,383,176,207,727,304,423,2183,947,1236,5,4,1,2267,1002,1265,0,0,0,76,47,29
