name,tenured_total,ind_tenured,ind_men_tenured,ind_women_tenured,asian_tenured,asian_men_tenured,asian_women_tenured,black_tenured,black_men_tenured,black_women_tenured,his_tenured,his_men_tenured,his_women_tenured,pi_tenured,pi_men_tenured,pi_women_tenured,white_tenured,white_men_tenured,white_women_tenured,multi_tenured,multi_men_tenured,multi_women_tenured,unknown_tenured,unknown_men_tenured,unknown_women_tenured,student_total,ind_student,ind_men_student,ind_women_student,asian_student,asian_men_student,asian_women_student,black_student,black_men_student,black_women_student,his_student,his_men_student,his_women_student,pi_student,pi_men_student,pi_women_student,white_student,white_men_student,white_women_student,multi_student,multi_men_student,multi_women_student,unknown_student,unknown_men_student,unknown_women_student
Aviation Institute of Maintenance-Dallas,,,,,,,,,,,,,,,,,,,,,,,,,,341,4,4,0,16,16,0,110,109,1,71,70,1,0,0,0,119,109,10,3,2,1,17,17,0
Aviation Institute of Maintenance-Houston,,,,,,,,,,,,,,,,,,,,,,,,,,251,2,2,0,12,12,0,60,54,6,93,85,8,0,0,0,62,59,3,4,3,1,18,17,1
Bakke Graduate University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baldwin Beauty School-North Austin,,,,,,,,,,,,,,,,,,,,,,,,,,79,0,0,0,1,0,1,12,0,12,15,0,15,0,0,0,43,2,41,4,0,4,4,0,4
Baldwin Beauty School-South Austin,,,,,,,,,,,,,,,,,,,,,,,,,,76,0,0,0,0,0,0,1,0,1,40,6,34,0,0,0,35,2,33,0,0,0,0,0,0
Baptist Health System School of Health Professions,,,,,,,,,,,,,,,,,,,,,,,,,,444,5,0,5,19,6,13,25,6,19,189,39,150,8,2,6,190,36,154,8,4,4,0,0,0
Baptist Missionary Association Theological Seminary,,,,,,,,,,,,,,,,,,,,,,,,,,55,0,0,0,0,0,0,17,11,6,5,5,0,0,0,0,32,26,6,0,0,0,0,0,0
Baptist University of the Americas,2,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,1,1,0,5,5,0,129,62,67,0,0,0,15,8,7,0,0,0,0,0,0
Barber Institute of Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baylor College of Medicine,361,0,0,0,51,34,17,6,4,2,19,13,6,2,2,0,248,180,68,0,0,0,35,26,9,,,,,,,,,,,,,,,,,,,,,,,,,
Baylor University,468,1,1,0,17,14,3,8,4,4,13,11,2,1,1,0,407,309,98,11,9,2,1,1,0,13292,44,18,26,855,387,468,982,371,611,1841,745,1096,4,2,2,8504,3577,4927,628,252,376,28,16,12
Bella Cosmetology College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BK Cosmo College of Cosmetology,,,,,,,,,,,,,,,,,,,,,,,,,,51,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,31,2,29,0,0,0,0,0,0
Blinn College,,,,,,,,,,,,,,,,,,,,,,,,,,18561,66,35,31,416,233,183,1802,858,944,3536,1595,1941,18,8,10,11963,5883,6080,500,244,256,260,156,104
Brazosport College,55,1,1,0,2,1,1,2,2,0,3,1,2,0,0,0,47,29,18,0,0,0,0,0,0,4127,15,8,7,44,23,21,302,151,151,1436,763,673,1,1,0,2191,1102,1089,117,60,57,21,19,2
Brite Divinity School,12,0,0,0,2,1,1,0,0,0,2,2,0,0,0,0,8,5,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Brookhaven College,,,,,,,,,,,,,,,,,,,,,,,,,,12319,48,20,28,1263,599,664,2318,784,1534,4328,1809,2519,12,6,6,3797,1668,2129,103,44,59,409,191,218
Buckner Barber School,,,,,,,,,,,,,,,,,,,,,,,,,,28,0,0,0,0,0,0,12,9,3,14,12,2,0,0,0,1,1,0,1,1,0,0,0,0
Careers Institute of America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrington College-Mesquite,,,,,,,,,,,,,,,,,,,,,,,,,,308,1,0,1,2,0,2,62,6,56,136,6,130,0,0,0,98,5,93,6,1,5,3,0,3
CCI Training Center-Arlington,,,,,,,,,,,,,,,,,,,,,,,,,,199,2,1,1,6,5,1,106,29,77,27,14,13,0,0,0,48,24,24,8,2,6,2,1,1
Cedar Valley College,,,,,,,,,,,,,,,,,,,,,,,,,,6676,18,8,10,149,59,90,3638,1347,2291,1401,615,786,4,2,2,1221,482,739,78,34,44,157,76,81
Center for Advanced Legal Studies,,,,,,,,,,,,,,,,,,,,,,,,,,125,0,0,0,3,1,2,28,3,25,37,8,29,0,0,0,56,8,48,0,0,0,1,1,0
Central Texas Beauty College-Round Rock,,,,,,,,,,,,,,,,,,,,,,,,,,80,0,0,0,10,5,5,24,3,21,20,2,18,0,0,0,26,5,21,0,0,0,0,0,0
Central Texas Beauty College-Temple,,,,,,,,,,,,,,,,,,,,,,,,,,132,0,0,0,29,4,25,33,0,33,36,5,31,0,0,0,27,1,26,0,0,0,7,0,7
Central Texas College,,,,,,,,,,,,,,,,,,,,,,,,,,21647,249,128,121,749,344,405,5232,2618,2614,3635,1679,1956,335,173,162,8483,4495,3988,91,40,51,2816,2000,816
CET-El Paso,,,,,,,,,,,,,,,,,,,,,,,,,,99,0,0,0,0,0,0,1,1,0,94,80,14,0,0,0,2,2,0,2,2,0,0,0,0
Chamberlain University-Texas,,,,,,,,,,,,,,,,,,,,,,,,,,258,0,0,0,28,8,20,70,3,67,35,6,29,2,1,1,47,8,39,0,0,0,67,5,62
Champion Beauty College,,,,,,,,,,,,,,,,,,,,,,,,,,70,0,0,0,8,0,8,26,0,26,8,0,8,0,0,0,28,2,26,0,0,0,0,0,0
Charles and Sues School of Hair Design,,,,,,,,,,,,,,,,,,,,,,,,,,19,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,15,0,15,0,0,0,0,0,0
Chicago School of Professional Psychology at Dallas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christ Mission College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cisco College,31,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,24,11,13,0,0,0,5,3,2,3617,10,5,5,43,14,29,226,121,105,821,277,544,3,0,3,1985,761,1224,109,47,62,348,173,175
Clarendon College,,,,,,,,,,,,,,,,,,,,,,,,,,1214,25,17,8,2,1,1,91,53,38,269,110,159,1,0,1,781,307,474,5,3,2,26,10,16
Coastal Bend College,,,,,,,,,,,,,,,,,,,,,,,,,,3533,13,7,6,23,10,13,59,34,25,2252,785,1467,3,1,2,917,348,569,49,27,22,217,98,119
College of Biblical Studies,,,,,,,,,,,,,,,,,,,,,,,,,,257,0,0,0,6,6,0,118,53,65,5,3,2,0,0,0,98,55,43,3,1,2,27,18,9
College of Biblical Studies-Houston,,,,,,,,,,,,,,,,,,,,,,,,,,498,1,1,0,6,4,2,257,144,113,149,78,71,0,0,0,72,47,25,9,6,3,4,2,2
College of the Mainland,58,2,0,2,4,1,3,4,1,3,3,3,0,0,0,0,44,27,17,1,0,1,0,0,0,4188,15,5,10,113,48,65,680,264,416,1145,462,683,7,1,6,2209,953,1256,19,8,11,0,0,0
Collin County Community College District,,,,,,,,,,,,,,,,,,,,,,,,,,27972,135,60,75,2310,1061,1249,3381,1263,2118,4890,2098,2792,72,37,35,15264,6996,8268,874,386,488,229,112,117
Commonwealth Institute of Funeral Service,,,,,,,,,,,,,,,,,,,,,,,,,,219,1,1,0,3,3,0,69,28,41,30,12,18,0,0,0,116,52,64,0,0,0,0,0,0
Concorde Career College-Dallas,,,,,,,,,,,,,,,,,,,,,,,,,,703,8,2,6,27,8,19,243,45,198,103,20,83,3,2,1,199,35,164,34,5,29,86,16,70
Concorde Career College-Grand Prairie,,,,,,,,,,,,,,,,,,,,,,,,,,785,5,3,2,15,1,14,345,40,305,147,19,128,1,0,1,230,20,210,38,3,35,4,1,3
Concorde Career College-San Antonio,,,,,,,,,,,,,,,,,,,,,,,,,,681,9,2,7,15,1,14,51,15,36,384,59,325,3,0,3,163,22,141,26,6,20,30,15,15
Concordia University Texas,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,3,0,0,0,0,0,0,1531,11,5,6,42,10,32,191,57,134,335,119,216,0,0,0,772,293,479,0,0,0,169,56,113
Cortiva Institute-Arlington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cortiva Institute-Dallas,,,,,,,,,,,,,,,,,,,,,,,,,,310,0,0,0,9,1,8,87,29,58,78,18,60,0,0,0,95,22,73,5,3,2,36,7,29
Cortiva Institute-Houston,,,,,,,,,,,,,,,,,,,,,,,,,,350,5,1,4,2,0,2,80,21,59,79,23,56,0,0,0,71,19,52,3,0,3,110,20,90
Cosmetology Academy of Texarkana,,,,,,,,,,,,,,,,,,,,,,,,,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0
Cosmetology Career Center LLC,,,,,,,,,,,,,,,,,,,,,,,,,,215,1,0,1,10,4,6,27,1,26,55,0,55,0,0,0,121,2,119,0,0,0,0,0,0
Covenant School of Nursing and Allied Health,,,,,,,,,,,,,,,,,,,,,,,,,,310,0,0,0,3,1,2,6,1,5,64,14,50,0,0,0,206,24,182,11,3,8,20,4,16
Criswell College,,,,,,,,,,,,,,,,,,,,,,,,,,235,2,2,0,10,7,3,36,25,11,32,26,6,0,0,0,141,107,34,0,0,0,13,9,4
Culinary Institute Inc,,,,,,,,,,,,,,,,,,,,,,,,,,374,0,0,0,12,4,8,72,30,42,131,54,77,1,0,1,148,41,107,2,1,1,8,3,5
CyberTex Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,217,1,0,1,3,3,0,87,38,49,49,25,24,0,0,0,65,23,42,6,2,4,1,0,1
