"","name","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","num"
"50","The University of Texas at Tyler",1.85185185,1.83486239,NA,2.08333333,NA,2.5,5.88235294,6.01503759,6.76691729,5.75539568,8
"51","The University of Texas Health Science Center at Houston",NA,1.17647059,NA,1.41509434,NA,2.05761317,1.83823529,1.87265918,2.52707581,1.97628458,5
"52","The University of Texas Health Science Center at San Antonio",NA,1.2195122,NA,1.78571429,2.31660232,1.94552529,1.96078431,1.68067227,1.77777778,2.67857143,6
"53","The University of Texas MD Anderson Cancer Center",1.08695652,1.11856823,2.21238938,4.06091371,2.0746888,2.04081633,NA,0,0,0,0
"54","The University of Texas of the Permian Basin",0,0,0,0,0,0,0,0,1.75438596,2.89855072,2
"55","The University of Texas Rio Grande Valley",2.90909091,2.42214533,2.48447205,2.75229358,3.55029586,2.69662921,2.99539171,2.96127563,3.18906606,3.19148936,15
"56","Trinity University",NA,3.01204819,NA,3.18471338,NA,2.89017341,2.89017341,3.97727273,3.57142857,3.50877193,6
"57","University of Dallas",NA,0,NA,0,0,0,0,0,1.2345679,1.19047619,1
"58","University of Houston",2.82738095,3.08823529,3.50364964,3.67647059,3.90516039,4.06732118,4.20757363,3.87700535,3.98457584,3.71794872,29
"59","University of Houston-Clear Lake",NA,4.58015267,4.25531915,5.07246377,NA,5.36912752,5.47945205,4.63576159,4.69798658,3.26797386,5
"60","University of Houston-Downtown",6.42857143,6.25,6.06060606,6.62650602,7.84313725,6.91823899,7.45341615,8.53658537,7.92682927,8.28402367,14
"61","University of Houston-Victoria",NA,1.85185185,0,0,NA,0,0,1.49253731,1.58730159,1.51515152,1
"62","University of Mary Hardin-Baylor",NA,0,0,0,0,0,0,0,0,1.5625,1
"63","University of North Texas",NA,3.49264706,3.4904014,3.57142857,3.9049236,3.46534653,3.44827586,3.77668309,3.65448505,3.94511149,23
"64","University of North Texas at Dallas",NA,NA,NA,NA,0,6.66666667,7.14285714,7.14285714,3.7037037,4,1
"65","University of St Thomas",1.31578947,1.28205128,1.26582278,2.38095238,2.5974026,2.53164557,2.53164557,2.63157895,2.4691358,2.66666667,2
"66","University of the Incarnate Word",NA,5.66037736,3.53982301,4.34782609,4.06504065,3.78787879,3.67647059,3.0075188,3.47222222,5.26315789,8
"67","West Texas A & M University",NA,1.04166667,NA,0.86956522,NA,0.76335878,0.86956522,0.9009009,0,0.74074074,1
