name,tenured_total,ind_tenured,ind_men_tenured,ind_women_tenured,asian_tenured,asian_men_tenured,asian_women_tenured,black_tenured,black_men_tenured,black_women_tenured,his_tenured,his_men_tenured,his_women_tenured,pi_tenured,pi_men_tenured,pi_women_tenured,white_tenured,white_men_tenured,white_women_tenured,multi_tenured,multi_men_tenured,multi_women_tenured,unknown_tenured,unknown_men_tenured,unknown_women_tenured,student_total,ind_student,ind_men_student,ind_women_student,asian_student,asian_men_student,asian_women_student,black_student,black_men_student,black_women_student,his_student,his_men_student,his_women_student,pi_student,pi_men_student,pi_women_student,white_student,white_men_student,white_women_student,multi_student,multi_men_student,multi_women_student,unknown_student,unknown_men_student,unknown_women_student
ABC Beauty Academy,,,,,,,,,,,,,,,,,,,,,,,,,,33,0,0,0,26,7,19,5,0,5,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
Abilene Christian University,129,1,1,0,2,2,0,5,3,2,4,2,2,0,0,0,114,88,26,3,2,1,0,0,0,3538,9,1,8,49,19,30,305,150,155,607,210,397,5,4,1,2253,883,1370,166,72,94,11,4,7
Academy of Hair Design-Beaumont,,,,,,,,,,,,,,,,,,,,,,,,,,57,0,0,0,0,0,0,34,1,33,0,0,0,0,0,0,17,0,17,6,0,6,0,0,0
Academy of Hair Design-Jasper,,,,,,,,,,,,,,,,,,,,,,,,,,42,0,0,0,0,0,0,10,1,9,1,0,1,0,0,0,31,7,24,0,0,0,0,0,0
Academy of Hair Design-Lufkin,,,,,,,,,,,,,,,,,,,,,,,,,,84,0,0,0,5,1,4,25,6,19,8,0,8,0,0,0,46,4,42,0,0,0,0,0,0
Advanced Barber College and Hair Design,,,,,,,,,,,,,,,,,,,,,,,,,,165,0,0,0,0,0,0,0,0,0,165,105,60,0,0,0,0,0,0,0,0,0,0,0,0
Advanced Beauty College,,,,,,,,,,,,,,,,,,,,,,,,,,44,0,0,0,40,1,39,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Alamo City Barber College,,,,,,,,,,,,,,,,,,,,,,,,,,157,2,0,2,0,0,0,31,29,2,113,96,17,0,0,0,4,3,1,6,5,1,1,1,0
Alamo Community College District Central Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allgood Beauty Institute,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,0,0,0,0,0,3,0,3,1,0,1,0,0,0,2,0,2,0,0,0,2,0,2
Altierus Career College-Bissonnet,,,,,,,,,,,,,,,,,,,,,,,,,,383,2,0,2,15,8,7,131,49,82,206,59,147,0,0,0,23,14,9,4,1,3,2,0,2
Alvin Community College,66,1,1,0,1,0,1,1,1,0,3,2,1,0,0,0,60,24,36,0,0,0,0,0,0,5573,50,26,24,341,143,198,673,312,361,1991,850,1141,13,7,6,2338,1020,1318,0,0,0,76,36,40
Amarillo College,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,19,26,0,0,0,0,0,0,9854,71,28,43,304,121,183,520,184,336,4050,1421,2629,11,7,4,4538,1730,2808,206,76,130,154,56,98
Amberton University,,,,,,,,,,,,,,,,,,,,,,,,,,189,1,1,0,12,4,8,63,14,49,20,9,11,0,0,0,72,25,47,0,0,0,2,0,2
American College of Acupuncture and Oriental Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American InterContinental University-Houston,,,,,,,,,,,,,,,,,,,,,,,,,,257,3,2,1,6,4,2,74,26,48,31,17,14,1,0,1,16,7,9,0,0,0,126,45,81
Angelina College,,,,,,,,,,,,,,,,,,,,,,,,,,4919,26,6,20,43,16,27,610,174,436,1385,558,827,6,3,3,2668,985,1683,160,51,109,19,8,11
Angelo State University,137,2,1,1,9,6,3,5,1,4,9,3,6,0,0,0,111,74,37,0,0,0,1,1,0,8672,33,14,19,129,57,72,501,281,220,3130,1275,1855,16,9,7,4366,1882,2484,262,111,151,6,1,5
Ann Webb Skin Institute,,,,,,,,,,,,,,,,,,,,,,,,,,134,1,0,1,10,0,10,13,1,12,27,1,26,0,0,0,69,0,69,3,0,3,11,0,11
AOMA Graduate School of Integrative Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona College-Dallas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arlington Baptist University,,,,,,,,,,,,,,,,,,,,,,,,,,161,1,1,0,2,0,2,49,32,17,26,20,6,1,1,0,82,43,39,0,0,0,0,0,0
Arlington Career Institute,,,,,,,,,,,,,,,,,,,,,,,,,,330,0,0,0,0,0,0,137,18,119,98,2,96,1,0,1,94,4,90,0,0,0,0,0,0
Astrodome Career Centers,,,,,,,,,,,,,,,,,,,,,,,,,,133,0,0,0,0,0,0,17,1,16,108,6,102,0,0,0,3,0,3,4,0,4,1,0,1
Auguste Escoffier School of Culinary Arts-Austin,,,,,,,,,,,,,,,,,,,,,,,,,,506,2,2,0,10,6,4,85,43,42,190,102,88,0,0,0,147,83,64,33,11,22,35,17,18
Austin College,67,2,1,1,1,1,0,1,0,1,5,2,3,0,0,0,57,42,15,0,0,0,0,0,0,1277,5,5,0,164,70,94,128,71,57,260,117,143,2,0,2,628,313,315,62,35,27,4,4,0
Austin Community College District,,,,,,,,,,,,,,,,,,,,,,,,,,40799,274,133,141,2222,964,1258,2973,1217,1756,14916,6158,8758,73,39,34,17963,8295,9668,1510,694,816,325,150,175
Austin Graduate School of Theology,,,,,,,,,,,,,,,,,,,,,,,,,,26,0,0,0,0,0,0,8,6,2,3,3,0,0,0,0,14,8,6,1,1,0,0,0,0
Austin Presbyterian Theological Seminary,11,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,9,7,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
