name,tenured_total,ind_tenured,ind_men_tenured,ind_women_tenured,asian_tenured,asian_men_tenured,asian_women_tenured,black_tenured,black_men_tenured,black_women_tenured,his_tenured,his_men_tenured,his_women_tenured,pi_tenured,pi_men_tenured,pi_women_tenured,white_tenured,white_men_tenured,white_women_tenured,multi_tenured,multi_men_tenured,multi_women_tenured,unknown_tenured,unknown_men_tenured,unknown_women_tenured,student_total,ind_student,ind_men_student,ind_women_student,asian_student,asian_men_student,asian_women_student,black_student,black_men_student,black_women_student,his_student,his_men_student,his_women_student,pi_student,pi_men_student,pi_women_student,white_student,white_men_student,white_women_student,multi_student,multi_men_student,multi_women_student,unknown_student,unknown_men_student,unknown_women_student
ABC Beauty Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abilene Christian University,137,1,1,0,1,1,0,6,4,2,4,2,2,0,0,0,122,92,30,3,2,1,0,0,0,3758,12,5,7,42,15,27,338,158,180,616,234,382,4,3,1,2402,969,1433,185,87,98,10,4,6
Academy of Hair Design-Beaumont,,,,,,,,,,,,,,,,,,,,,,,,,,60,0,0,0,7,0,7,22,0,22,4,1,3,0,0,0,27,0,27,0,0,0,0,0,0
Academy of Hair Design-Jasper,,,,,,,,,,,,,,,,,,,,,,,,,,38,0,0,0,0,0,0,12,2,10,0,0,0,0,0,0,26,6,20,0,0,0,0,0,0
Academy of Hair Design-Lufkin,,,,,,,,,,,,,,,,,,,,,,,,,,82,0,0,0,0,0,0,25,6,19,20,4,16,0,0,0,35,2,33,2,2,0,0,0,0
Advanced Barber College and Hair Design,,,,,,,,,,,,,,,,,,,,,,,,,,223,0,0,0,0,0,0,0,0,0,223,142,81,0,0,0,0,0,0,0,0,0,0,0,0
Advanced Beauty College,,,,,,,,,,,,,,,,,,,,,,,,,,37,0,0,0,23,0,23,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,2,0,2
Alamo City Barber College,,,,,,,,,,,,,,,,,,,,,,,,,,178,0,0,0,9,9,0,40,33,7,119,98,21,2,2,0,6,6,0,0,0,0,2,2,0
Alamo Community College District Central Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allgood Beauty Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altierus Career College-Bissonnet,,,,,,,,,,,,,,,,,,,,,,,,,,486,0,0,0,20,10,10,201,97,104,205,83,122,0,0,0,35,16,19,6,1,5,19,7,12
Alvin Community College,63,0,0,0,1,0,1,1,1,0,2,2,0,0,0,0,59,29,30,0,0,0,0,0,0,5677,36,17,19,340,153,187,753,342,411,1748,751,997,16,13,3,2654,1122,1532,0,0,0,77,38,39
Amarillo College,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,19,28,0,0,0,0,0,0,10195,56,17,39,287,118,169,499,192,307,4090,1508,2582,6,2,4,4963,1891,3072,179,57,122,115,51,64
Amberton University,,,,,,,,,,,,,,,,,,,,,,,,,,215,0,0,0,26,10,16,60,21,39,21,8,13,1,0,1,99,36,63,0,0,0,8,3,5
American College of Acupuncture and Oriental Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American InterContinental University-Houston,,,,,,,,,,,,,,,,,,,,,,,,,,335,3,1,2,5,3,2,128,58,70,38,12,26,2,2,0,17,10,7,3,0,3,139,61,78
Angelina College,,,,,,,,,,,,,,,,,,,,,,,,,,5061,26,12,14,45,18,27,652,197,455,1154,469,685,1,0,1,3025,1113,1912,154,62,92,2,1,1
