name,tenured_total,white_tenured,white_men_tenured,white_women_tenured,black_tenured,black_men_tenured,black_women_tenured,his_tenured,his_men_tenured,his_women_tenured,asian_tenured,asian_men_tenured,asian_women_tenured,ind_tenured,ind_men_tenured,ind_women_tenured,unknown_tenured,unknown_men_tenured,unknown_women_tenured,student_total,white_student,white_men_student,white_women_student,black_student,black_men_student,black_women_student,his_student,his_men_student,his_women_student,asian_student,asian_men_student,asian_women_student,ind_student,ind_men_student,ind_women_student,unknown_student,unknown_men_student,unknown_women_student
,,,,,,,,,,,,,,,,,,,,207,0,0,0,71,4,67,136,20,116,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,150,67,22,45,38,3,35,35,7,28,9,3,6,1,0,1,0,0,0
,,,,,,,,,,,,,,,,,,,,45,28,0,28,15,1,14,1,0,1,1,1,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,120,66,23,43,20,10,10,25,12,13,2,1,1,2,0,2,1,0,1
,,,,,,,,,,,,,,,,,,,,98,48,0,48,10,0,10,20,0,20,20,0,20,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,317,2,0,2,31,2,29,254,42,212,30,4,26,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,133,37,0,37,6,0,6,37,1,36,52,15,37,1,0,1,0,0,0
,,,,,,,,,,,,,,,,,,,,1230,193,112,81,744,419,325,268,151,117,17,3,14,0,0,0,8,4,4
,,,,,,,,,,,,,,,,,,,,293,50,3,47,140,20,120,97,19,78,5,0,5,0,0,0,1,0,1
,,,,,,,,,,,,,,,,,,,,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,9,32
,,,,,,,,,,,,,,,,,,,,184,11,1,10,4,0,4,169,10,159,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,261,40,5,35,24,5,19,195,11,184,2,0,2,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,35,12,2,10,6,1,5,15,0,15,1,0,1,0,0,0,1,0,1
,,,,,,,,,,,,,,,,,,,,88,1,1,0,0,0,0,87,3,84,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,266,9,3,6,4,4,0,250,45,205,3,0,3,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,12469,579,269,310,11,2,9,11782,4710,7072,93,42,51,4,3,1,0,0,0
,,,,,,,,,,,,,,,,,,,,113,63,2,61,11,0,11,17,0,17,20,5,15,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,48,31,11,20,3,1,2,1,0,1,10,4,6,1,1,0,1,0,1
,,,,,,,,,,,,,,,,,,,,100,89,47,42,5,4,1,2,1,1,1,1,0,2,0,2,0,0,0
,,,,,,,,,,,,,,,,,,,,36,0,0,0,0,0,0,34,4,30,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,173,3,0,3,1,0,1,28,1,27,141,33,108,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,38,19,0,19,2,1,1,17,0,17,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,5143,2492,1088,1404,237,100,137,2178,897,1281,206,91,115,20,14,6,0,0,0
,,,,,,,,,,,,,,,,,,,,59,12,4,8,17,16,1,23,14,9,5,1,4,2,0,2,0,0,0
,,,,,,,,,,,,,,,,,,,,152,17,7,10,26,5,21,107,18,89,2,0,2,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,90,18,2,16,2,1,1,10,1,9,60,9,51,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,86,2,1,1,1,1,0,82,73,9,1,0,1,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,49,32,2,30,12,0,12,5,0,5,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,55,25,2,23,10,0,10,1,0,1,19,3,16,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,84,67,8,59,3,0,3,10,3,7,3,0,3,1,0,1,0,0,0
,,,,,,,,,,,,,,,,,,,,57,0,0,0,0,0,0,57,13,44,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,97,4,0,4,79,6,73,5,1,4,2,0,2,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,166,7,1,6,14,1,13,61,4,57,52,11,41,31,13,18,1,0,1
,,,,,,,,,,,,,,,,,,,,197,39,3,36,21,8,13,99,19,80,1,0,1,0,0,0,37,9,28
,,,,,,,,,,,,,,,,,,,,244,105,60,45,136,75,61,3,2,1,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,196,131,71,60,20,8,12,23,15,8,7,5,2,1,1,0,14,7,7
,,,,,,,,,,,,,,,,,,,,112,17,4,13,4,2,2,90,15,75,1,1,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,46,159
